;_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/#
;
;	Module		:CStr.csv
;	Facility	:iniファイル(CStr)。
;				 CStr関係のデータを設定する。
;
;	Licence		:ライセンスフリー。
;
;_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/#

;*******************************************************************************
;◆データ（本体モジュール）
;*******************************************************************************

0,称号,;二つ名
1,年齢,;正確でもアバウトでも可

2,一人称,;自分の呼び方。基本的に汎用口上用
3,二人称,;主人の呼び方。基本的に汎用口上用(主人以外の場合は 3502,二人称2 を使う事)
4,CHARA_RENAME,;RENAME.CSV用に出力する名前。(空の場合はCALLNAMEが出力に使用される)


5,キャラ紹介0
6,キャラ紹介1
7,キャラ紹介2
8,キャラ紹介3

9,タイトル,;AV用

10,FIRSTTIME_コマンド
11,FIRSTTIME_コマンド汎用
12,FIRSTTIME_口上全般
13,FIRSTTIME_口上全般汎用

15,あなた用_女名前,;

18,レイプキャラ名
19,ＮＴＲキャラ名
20,労役衣装名
21,임신相手名
22,父親名
23,母親名
24,出身作品,;登場作品名、作品別キャラ検索に使用
25,出身カナ,;作品名ソートに使用

;-----------------------------
;- 衣装
;-----------------------------
30,衣装名_모자
31,衣装名_上着トップス
32,衣装名_上着ボトムス
33,衣装名_全身服
34,衣装名_手袋
35,衣装名_下着トップス
36,衣装名_下着ボトムス
37,衣装名_全身下着
38,衣装名_양말
39,衣装名_신발
40,衣装名_外套
41,衣装名_アクセサリー
;42,
;43,
;44,

;-----------------------------
;- その他
;-----------------------------
60,첫키스상대명
61,첫섹스상대명
62,첫A섹스상대명
63,첫펠라상대명
64,첫질사상대명
65,첫절정상대명
66,첫정음상대명
67,첫출산상대명
;68,
;69,



;*******************************************************************************
;◆データ（RPGモジュール）
;*******************************************************************************
;
;-------------------------------------------------
; [070-089]			캐릭터해설
;-------------------------------------------------
70,캐릭터해설00
71,캐릭터해설01
72,캐릭터해설02
73,캐릭터해설03
74,캐릭터해설04
75,캐릭터해설05
76,캐릭터해설06
77,캐릭터해설07
78,캐릭터해설08
79,캐릭터해설09
80,캐릭터해설10
81,캐릭터해설11
82,캐릭터해설12
83,캐릭터해설13
84,캐릭터해설14

;↓世代関係
85,캐릭터해설15
86,캐릭터해설16
87,캐릭터해설17
88,캐릭터해설18
89,캐릭터해설19



;-------------------------------------------------
; [090-099]			RPG:名称類
;-------------------------------------------------

090,종족名,;任意。全角３文字まで
091,RPG_NAME,;RPGモジュール内でのNAME。(空の場合NAMEがセットされる)
092,RPG_CALLNAME,;RPGモジュール内でのCALLNAME。(空の場合CALLNAMEがセットされる)
093,キャラ簡易解説,;全角３０文字以内

099,思考パターン,;




;*******************************************************************************
;◆データ 性格別어미
;*******************************************************************************
;
;[100-199]を占有。
;汎用口上の際にセリフの어미を性格別に変更する
;-------------------------------------------------------------------------------
100,어미応答
101,어미肯定
102,어미否定
103,어미대응
104,어미お願い
105,어미疑問
106,어미同意求む
107,어미希望
108,어미褒める
109,어미命令
110,어미称える
111,어미許可
112,어미拒否
113,어미問い詰め
114,어미愛
115,어미送る
116,어미受け取る
117,어미何？
118,어미YES
119,어미No
120,어미誰
121,어미行為
122,어미命令強
123,어미問う
124,어미感謝
125,어미謝罪
126,어미問う2
127,어미反応
128,어미同意求む2
129,어미肯定2
130,어미ます
131,어미です
132,어미ました
133,어미問う3
134,어미行為2
135,어미応答2
136,어미促進
137,어미問う4
138,어미相槌
139,어미問う5
140,어미です2
141,어미丁寧
142,어미丁寧2
143,어미逆説
144,어미聞く
145,어미問う6
146,어미微笑
147,어미ので
148,어미拒絶
149,어미行く
150,어미応答3
151,어미繋ぎ
152,어미遠慮
153,어미行為3
154,어미希望2
155,어미無
156,어미だろう

;-------------------------------------------------
; [00950-0999]	自己紹介	
;-------------------------------------------------
950,自己紹介0,;
951,自己紹介1,;
952,自己紹介2,;
953,自己紹介3,;
954,自己紹介4,;
955,自己紹介5,;



960,UPF0,;
961,UPF1,;
962,UPF2,;
963,UPF3,;
964,UPF4,;
965,UPF5,;
966,UPF6,;
967,UPF7,;
968,UPF8,;
969,UPF9,;

;-------------------------------------------------
; [01000-02000]		キャラ(区画使用)
;-------------------------------------------------
;[01000-01999]配下　詳細情報
1000,시조,;
1001,모친,;


;[02700-02899]配下　詳細情報
2600,매력포인트,;
2601,버릇,;
2602,,;
2603,,;
2604,,;
2605,,;
2606,,;
2607,,;
2608,,;
2609,,;
2610,,;



;-------------------------------------------------
; [03000-04000]		交流
;-------------------------------------------------
3000,対象1名前,;


3500,恋人名前,;
3501,반려名前,;
3502,二人称2,;主人以外の呼び方。基本的に汎用口上用

;-------------------------------------------------
; [04000-05000]		戦闘
;-------------------------------------------------
4000,주민_M병기_名前,;
4010,주민_S병기_名前,;


4999,,;ERB\주민\JN_CONFIG.ERBで設定する。@INFO_TARGET_DETAILでoかxを表示するために一時的に使用する。
