;_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/#
;
;	Module		:Tcvar.csv
;	Facility	:iniファイル(TCVAR)。
;				 TCVARのデータを設定する。
;
;	Licence		:ライセンスフリー。
;
;_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/#

;-------------------------------------------------
; メモ:
;  特になし
;-------------------------------------------------

;-------------------------------------------------
; [000-049]			システム(毎ターン初期化)
;-------------------------------------------------
;- 0～49はコマンド実行時に毎ターン初期化される

000,主人性交フラグＶ,;主人とＶセックス中かどうか
001,主人性交フラグＡ,;主人とＡセックス中かどうか
002,主人性交フラグＰ,;主人とペニスでセックス中かどうか

005,固定加算_쾌C,;
006,固定加算_쾌V,;
007,固定加算_쾌A,;
008,固定加算_쾌B,;

011,履歴_刻印取得_淫乱,;
012,履歴_刻印取得_反発,;

020,이력_EXP_처녀상실,;
021,履歴_EXP_Ａ処女喪失,;
022,履歴_EXP_童貞喪失,;

025,ログ出力_절정,;(真偽値)
026,ログ出力_行動,;(真偽値)

030,절정強度,;0～3
031,절정타입,;(1:Ｃ절정 2:Ｖ절정 3:Ｖ절정 4:ＶＡ절정)
032,절정加算値,;快部位のCUP合計
033,射精,;射精有無。절정強度がそのまま代入される
034,被射精部位,;射精部位

035,行動済みフラグ,;サブコマンドの実行判定
036,出力済みフラグ,;情景の出力済み
037,逆性交フラグ,;(0:無し 1:Ｖ性交 2:Ａ性交)

040,キャラ욕정,;(真偽値)
041,キャラ윤활,;(真偽値)
042,ペニス勃起,;(真偽値)

;-------------------------------------------------
; [050-099]			システム
;-------------------------------------------------

050,イきそう,;(1以上の際に절정ゲージがMAXになると、절정と判定)
052,ペニス使用対象,;キャラ番号
053,ペニス使用箇所,;
054,절정回数,;
055,子宮射精回数,;

060,休憩フラグ,;체력0。調教メンバーから離脱
061,調教回数,;主人から調教を受ける度に加算。反発がする増加
062,登録サブコマンド,;
069,行動フラグ_ソース変動,;ソース変動時に立てる。このフラグがあるキャラを行動終了時に清算

