;_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/#
;
;	Module		:CHARAxxx.csv
;	Facility	:キャラクターデータ
;
;	Licence		:ライセンスフリー。
;
;_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/#

;-------------------------------------------------
; メモ：
;   特になし
;-------------------------------------------------

;-----------------------------
;- 기초정보
;-----------------------------
番号,102,;			番号は100以上で設定
フラグ,NPC番号,102;		【注意！】画像番号と合わせるように
フラグ,사용구상,0;		逢引中、0で汎用口上を使い、0以外(NPC番号と同じ数字)で専用口上を使う
名前,여동생
呼び名,여동생
;-----------------------------
;- 性格種類はTalent.csvを参照、汎用口上を使う場合はちゃんと設定しましょう。
;-----------------------------
素質,어린애같음
;-----------------------------
;- 素質・能力・経験等(確定素質等)、変更等はTalent.csvを参照
;-----------------------------
;-- 素質
素質,NPC
素質,유니크
素質,합의
素質,《브라콘》
素質,「시스터」
素質,기밀Lv5개체
素質,절벽
素質,중독되기쉬움
素質,작은체형
素質,고통에약함
素質,정직
素質,고양이혀
素質,유치
素質,쾌감솔직
素質,학생,5
素質,계급FourG
;-- 能力
能力,기교,1
能力,욕망,1
能力,사디끼,1
能力,마조끼,1
能力,매료기능,1
能力,봉사정신,1
能力,가창기능,1
能力,전투기능,1
能力,공작기능,1
;-- 刻印
;-- 経験

;-----------------------------
;- FLAG
;-----------------------------
フラグ,수정최대내구치,200
フラグ,수정현재내구치,200
フラグ,수정확률,15
フラグ,무자각한암컷,30;		최대値は99
フラグ,페로몬,30;		최대値は99
フラグ,암컷의본능,30;		최대値は99
フラグ,성적인흥미,30;		최대値は99
フラグ,수컷에관심,30;		최대値は99
フラグ,성교원망,30;		최대値は99
フラグ,임신원망,30;		최대値は99
フラグ,난자레벨,30;		최대値は99
フラグ,모체레벨,30;		최대値は99
フラグ,주민_소지금,30000
フラグ,주민_지위,1;		-1貧民 0一般 1中級 2上級 3貴族
フラグ,주민_기여도,6;		최대値は9
フラグ,주민_지출,2000
フラグ,주민_인기,100
フラグ,주민_모럴,50
フラグ,주민_카르마,0
フラグ,주민_품성,50
フラグ,주민_속성,0;		0中立 1善 2悪
フラグ,주민_종족,0;		0인간 1엘프 2야마 3아인 4오토마타 5천사 6용인 7이스 8해인 9조인 10오니 11정령
フラグ,주민_수입,20000
フラグ,주민_최대체력,200;	최대値は99、최대値以上にしてもキャラ追加時に限界値に戻します
フラグ,주민_현재체력,200;	최대値は99
フラグ,주민_최대기력,99;	최대値は99
フラグ,주민_현재기력,99;	최대値は99
フラグ,주민_SAN,70;		최대値は70　正気度
フラグ,주민_GUTS,50;		최대値は50　根性
フラグ,주민_BRAVE,50;		최대値は50　勇気
フラグ,주민_ATK,80;		최대値は80　攻撃力
フラグ,주민_DEF,80;		최대値は80　防御力
フラグ,주민_HIT,80;		최대値は80　命中率
フラグ,주민_SPD,80;		최대値は80　速度
フラグ,주민_LUK,80;		최대値は50　幸運
フラグ,주민_최대BRE,200;	최대値は150　バリア
フラグ,주민_현재BRE,200;	최대値は150
フラグ,주민_M병기,1;		0体術 1刀剣 2鈍器 3銃器 4魔法
フラグ,주민_M병기다이스,4;	최대値は4
フラグ,주민_M병기데미지,20;	최대치는 20
フラグ,주민_M병기보너스,10;	최대値は10
フラグ,주민_S병기,2;		0体術 1刀剣 2鈍器 3銃器 4魔法
フラグ,주민_S병기다이스,3;	최대値は3
フラグ,주민_S병기데미지,10;	최대値は10
フラグ,주민_S병기보너스,5;	최대値は5
フラグ,주민_기능포인트,500;	최대치는 200
フラグ,주민_계급,4;		基本は0










;-----------------------------
;- 呼び方
;-----------------------------
CSTR,一人称,나; わたし
CSTR,二人称,오빠;   お兄ちゃん
CSTR,二人称2,너;    あなた
;-----------------------------

;-----------------------------
;- 유니크プロフィール
;-----------------------------
CSTR,UPF0,여동생
CSTR,UPF1,당신의 여동생. 사람을 매우 잘 따르고 당신의 말에도 순순히 따를 수 있는 여동생.
CSTR,UPF2,전투능력도 높고 주민 육성이 시원찮을 때는 조사에 도움이 될 것이다.
CSTR,UPF3,
CSTR,UPF4,
CSTR,UPF5,
CSTR,UPF6,《브라콘》
CSTR,UPF7,당신을 위해 설계되고，당신을 위해 태어나，당신을 위해 키워진 순수 배양된 여동생.
CSTR,UPF8,당신의 편이고 가족， 그리고 장난감이다.
CSTR,UPF9,그러니까 마음대로 해도 돼，오빠?








