;_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/#
;
;	Module		:CHARAxxx.csv
;	Facility	:キャラクターデータ
;
;	Licence		:ライセンスフリー。
;
;_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/#

;-------------------------------------------------
; メモ：
;   特になし
;-------------------------------------------------

;-----------------------------
;- 기초정보
;-----------------------------
番号,105,;			番号は100以上で設定
フラグ,NPC番号,105;		【注意！】画像番号と合わせるように
フラグ,사용구상,0;		逢引中、0で汎用口上を使い、0以外(NPC番号と同じ数字)で専用口上を使う
名前,후배 쨩
呼び名,후배 쨩
;-----------------------------
;- 性格種類はTalent.csvを参照、汎用口上を使う場合はちゃんと設定しましょう。
;-----------------------------
素質,예의바름
;-----------------------------
;- 素質・能力・経験等(確定素質等)、変更等はTalent.csvを参照
;-----------------------------
;-- 素質
素質,NPC
素質,유니크
素質,합의
素質,《아웃이터》
素質,거유
素質,학생,3
素質,헌신적
素質,얀데레
素質,의존
素質,「엔포저」
素質,비처녀
素質,Ａ비처녀
素質,중독되기쉬움
素質,Ｖ민감
素質,얌전함
素質,젖기쉬움
素質,기밀Lv6개체
素質,총애
素質,실험체
素質,AI전속피험자
素質,강화거주자

素質,계급ToI
;-- 能力
能力,Ｃ감각,5
能力,Ｖ감각,5
能力,Ａ감각,5
能力,Ｂ감각,5
能力,기교,3
能力,매료기능,2
能力,욕망,4
能力,노출벽,1
能力,성교중독,8
能力,자위중독,8
能力,정액중독,4
能力,키스중독,4
能力,마조끼,3
能力,친밀,5
能力,순종,8
能力,농락,8
能力,성노예,8
能力,봉사정신,9
能力,가사기능,5
能力,가창기능,1
能力,전투기능,8
能力,공작기능,5
;-- 刻印
刻印,예속각인,3
刻印,함락각인,3
刻印,음란각인,3
;-- 経験
経験,Ｃ경험,500
経験,Ｖ경험,300
経験,Ｂ경험,200
経験,절정경험,150
経験,정액경험,100
経験,정음경험,100
経験,수음경험,100
経験,질싸경험,100
経験,성교경험,160
経験,키스경험,110
経験,펠라경험,110
経験,자위경험,200
経験,파이즈리경험,150
経験,주인조교경험,500
経験,봉사쾌락경험,200
経験,유혹경험,100

経験,가사경험,400

経験,출산경험,1

;-----------------------------
;- FLAG
;-----------------------------
フラグ,수정최대내구치,200
フラグ,수정현재내구치,200
フラグ,수정확률,15
フラグ,무자각한암컷,30;		최대値は99
フラグ,페로몬,30;		최대値は99
フラグ,암컷의본능,50;		최대値は99
フラグ,성적인흥미,50;		최대値は99
フラグ,수컷에관심,50;		최대値は99
フラグ,성교원망,50;		최대値は99
フラグ,임신원망,60;		최대値は99
フラグ,난자레벨,40;		최대値は99
フラグ,모체레벨,40;		최대値は99
フラグ,호감도,2000;
フラグ,관계단계,2,;
フラグ,충성도,800,;
フラグ,애정도,900,;
フラグ,음란도,300,;
フラグ,주민_소지금,300000
フラグ,주민_지위,1;		-1貧民 0一般 1中級 2上級 3貴族
フラグ,주민_기여도,6;		최대値は9
フラグ,주민_지출,2000
フラグ,주민_인기,100
フラグ,주민_모럴,50
フラグ,주민_카르마,0
フラグ,주민_품성,50
フラグ,주민_속성,0;		0中立 1善 2悪
フラグ,주민_종족,3;		0인간 1엘프 2야마 3아인 4오토마타 5천사 6용인 7이스 8해인 9조인 10오니 11정령
フラグ,주민_수입,20000
フラグ,주민_최대체력,500;	최대値は99、최대値以上にしてもキャラ追加時に限界値に戻します
フラグ,주민_현재체력,500;	최대値は99
フラグ,주민_최대기력,150;	최대値は99
フラグ,주민_현재기력,150;	최대値は99
フラグ,주민_SAN,20;		최대値は70　正気度
フラグ,주민_GUTS,80;		최대値は50　根性
フラグ,주민_BRAVE,80;		최대値は50　勇気
フラグ,주민_ATK,200;		최대値は80　攻撃力
フラグ,주민_DEF,100;		최대値は80　防御力
フラグ,주민_HIT,150;		최대値は80　命中率
フラグ,주민_SPD,200;		최대値は80　速度
フラグ,주민_LUK,80;		최대値は50　幸運
フラグ,주민_최대BRE,200;	최대値は150　バリア
フラグ,주민_현재BRE,200;	최대値は150
フラグ,주민_M병기,1;		0体術 1刀剣 2鈍器 3銃器 4魔法
フラグ,주민_M병기다이스,3;	최대値は4
フラグ,주민_M병기데미지,60;	최대치는 20
フラグ,주민_M병기보너스,20;	최대値は10
フラグ,주민_S병기,3;		0体術 1刀剣 2鈍器 3銃器 4魔法
フラグ,주민_S병기다이스,15;	최대値は3
フラグ,주민_S병기데미지,20;	최대値は10
フラグ,주민_S병기보너스,5;	최대値は5
フラグ,주민_기능포인트,200;	최대치는 200
フラグ,주민_계급,6;		基本は0





フラグ,あなたの子の出産数,1




;-----------------------------
;- 呼び方
;-----------------------------
CSTR,一人称,저; 私
CSTR,二人称,선배;   先輩
CSTR,二人称2,당신;  貴方
;-----------------------------
CSTR,첫키스상대명,당신
CSTR,첫섹스상대명,당신
CSTR,첫A섹스상대명,당신
CSTR,첫펠라상대명,당신
CSTR,첫질사상대명,당신
CSTR,첫절정상대명,당신
CSTR,첫정음상대명,당신
CSTR,첫출산상대명,당신

;-----------------------------
;- 유니크プロフィール
;-----------------------------
CSTR,UPF0,후배 쨩
CSTR,UPF1,원래는 아티팩트 실험을 위해 준비된 피험체.
CSTR,UPF2,거듭되는 실험과 아티팩트의 영향으로 정신에 이상이 와 매우 불안정,
