;_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/#
;
;	Module		:CHARAxxx.csv
;	Facility	:キャラクターデータ
;
;	Licence		:ライセンスフリー。
;
;_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/_/#

;-------------------------------------------------
; メモ：
;   特になし
;-------------------------------------------------

;-----------------------------
;- 기초정보
;-----------------------------
番号,106,;			番号は100以上で設定
フラグ,NPC番号,106;		【注意！】画像番号と合わせるように
フラグ,사용구상,0;		逢引中、0で汎用口上を使い、0以外(NPC番号と同じ数字)で専用口上を使う
名前,점장 씨
呼び名,점장 씨
;-----------------------------
;- 性格種類はTalent.csvを参照、汎用口上を使う場合はちゃんと設定しましょう。
;-----------------------------
素質,요염함
;-----------------------------
;- 素質・能力・経験等(確定素質等)、変更等はTalent.csvを参照
;-----------------------------
;-- 素質
素質,NPC
素質,유니크
素質,합의
素質,비처녀
素質,Ａ비처녀
素質,폭유
素質,큰엉덩이
素質,의존
素質,Ｖ민감
素質,자애
素質,도착적
素質,모성
素質,쾌감솔직
素質,젖기쉬움
素質,습득빠름
素質,혀놀림
素質,애석
素質,매혹
素質,상애
素質,애인
素質,사회인
素質,미망인
素質,탁란완료
素質,ＮＴＬ
素質,비전투원
素質,「캐리어」
素質,《필어스》


素質,계급OneV
;-- 能力
能力,Ｃ감각,8
能力,Ｖ감각,8
能力,Ａ감각,8
能力,Ｂ감각,8
能力,기교,5
能力,매료기능,5
能力,욕망,5
能力,노출벽,2
能力,성교중독,8
能力,자위중독,2
能力,정액중독,5
能力,키스중독,5
能力,사디끼,1
能力,마조끼,3
能力,친밀,8
能力,순종,5
能力,농락,5
能力,성노예,8
能力,봉사정신,5
能力,가사기능,10
能力,가창기능,2
能力,전투기능,1
能力,공작기능,7
;-- 刻印
刻印,예속각인,3
刻印,함락각인,3
刻印,음란각인,3
;-- 経験
経験,Ｃ경험,457
経験,Ｖ경험,653
経験,Ｂ경험,572
経験,절정경험,469
経験,정액경험,326
経験,정음경험,223
経験,수음경험,302
経験,질싸경험,326
経験,성교경험,518
経験,키스경험,441
経験,펠라경험,313
経験,자위경험,256
経験,파이즈리경험,371
経験,주인조교경험,702
経験,ＮＴＬ조교경험,234
経験,봉사쾌락경험,526
経験,유혹경험,250

経験,가사경험,778
経験,매춘경험,102

経験,출산경험,3

;-----------------------------
;- FLAG
;-----------------------------
フラグ,수정최대내구치,200
フラグ,수정현재내구치,200
フラグ,수정확률,15
フラグ,무자각한암컷,60;		최대値は99
フラグ,페로몬,60;		최대値は99
フラグ,암컷의본능,70;		최대値は99
フラグ,성적인흥미,70;		최대値は99
フラグ,수컷에관심,70;		최대値は99
フラグ,성교원망,70;		최대値は99
フラグ,임신원망,80;		최대値は99
フラグ,난자레벨,60;		최대値は99
フラグ,모체레벨,70;		최대値は99
フラグ,호감도,6000;
フラグ,관계단계,2,;
フラグ,충성도,300,;
フラグ,애정도,900,;
フラグ,음란도,800,;
フラグ,주민_소지금,200000
フラグ,주민_지위,1;		-1貧民 0一般 1中級 2上級 3貴族
フラグ,주민_기여도,8;		최대値は9
フラグ,주민_지출,3000
フラグ,주민_인기,100
フラグ,주민_모럴,50
フラグ,주민_카르마,0
フラグ,주민_품성,50
フラグ,주민_속성,0;		0中立 1善 2悪
フラグ,주민_종족,0;		0인간 1엘프 2야마 3아인 4오토마타 5천사 6용인 7이스 8해인 9조인 10오니 11정령
フラグ,주민_수입,15000
フラグ,주민_최대체력,500;	최대値は99、최대値以上にしてもキャラ追加時に限界値に戻します
フラグ,주민_현재체력,500;	최대値は99
フラグ,주민_최대기력,150;	최대値は99
フラグ,주민_현재기력,150;	최대値は99
フラグ,주민_SAN,10;		최대値は70　正気度
フラグ,주민_GUTS,10;		최대値は50　根性
フラグ,주민_BRAVE,10;		최대値は50　勇気
フラグ,주민_ATK,10;		최대値は80　攻撃力
フラグ,주민_DEF,10;		최대値は80　防御力
フラグ,주민_HIT,10;		최대値は80　命中率
フラグ,주민_SPD,10;		최대値は80　速度
フラグ,주민_LUK,10;		최대値は50　幸運
フラグ,주민_최대BRE,10;	최대値は150　バリア
フラグ,주민_현재BRE,10;	최대値は150
フラグ,주민_M병기,0;		0体術 1刀剣 2鈍器 3銃器 4魔法
フラグ,주민_M병기다이스,3;	최대値は4
フラグ,주민_M병기데미지,10;	최대치는 20
フラグ,주민_M병기보너스,10;	최대値は10
フラグ,주민_S병기,1;		0体術 1刀剣 2鈍器 3銃器 4魔法
フラグ,주민_S병기다이스,5;	최대値は3
フラグ,주민_S병기데미지,10;	최대値は10
フラグ,주민_S병기보너스,5;	최대値は5
フラグ,주민_기능포인트,200;	최대치는 200
フラグ,주민_계급,6;		基本は0





フラグ,あなたの子の出産数,3




;-----------------------------
;- 呼び方
;-----------------------------
CSTR,一人称,저  ;私
CSTR,二人称,당신;   あなた
CSTR,二人称2,당신;  貴方
;-----------------------------
CSTR,첫키스상대명,당신
CSTR,첫섹스상대명,당신
CSTR,첫A섹스상대명,당신
CSTR,첫펠라상대명,당신
CSTR,첫질사상대명,당신
CSTR,첫절정상대명,당신
CSTR,첫정음상대명,당신
CSTR,첫출산상대명,당신

;-----------------------------
;- 유니크プロフィール
;-----------------------------
CSTR,UPF0,점장 씨
CSTR,UPF1,당신과는 오랜 친구인 묘령의 색기 있는 여자.
CSTR,UPF2,「플레이어」와는 혼인을 맺을 수 없기 때문에 한때는 포기하고 다른 남자와 결혼.
CSTR,UPF3,그러나 젊을 적에 빠져들었던 격렬한 정교의 나날을 잊지 못해 괴로워했다.
CSTR,UPF4,남편의 사후 서서히 재결합하여 지금의 애인관계로 받아들여져 있다.
CSTR,UPF5,
CSTR,UPF6,《필 어스》
CSTR,UPF7,점장 씨의 「캐리어」로서 체내에 내장되어 있는 특수 인자.
CSTR,UPF8,아이를 배고 출산할수록 영향력이 높아지고，도시의 인재는 우수해진다.
CSTR,UPF9,카페에서의 신인 조달에 의지가 될 것이다.








